Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
robustbench_Addepalli2021Towards_PARN18_cifar100_linf_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,True,62.02,27.14,Addepalli2021Towards_PARN18,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Rice2020Overfitting_cifar10_13,https://arxiv.org/abs/2002.11569,,,,False,95.46,0.00,Rice2020Overfitting,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Salman2020Do_50_2_imagenet1k_13,https://arxiv.org/abs/2007.08489,,,,False,59.71,0,Salman2020Do_50_2,WideResNet-50-2,pytorch,False,imagenet,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Addepalli2021Towards_WRN34_cifar100_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,False,79.11,0.00,Addepalli2021Towards_WRN34,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Cui2020Learnable_34_20_cifar10_13,https://arxiv.org/abs/2011.11164,,,,False,95.44,0.00,Cui2020Learnable_34_20,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Wu2020Adversarial_cifar10_13,https://arxiv.org/abs/2004.05884,,,,False,95.64,0.00,Wu2020Adversarial,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Sehwag2021Proxy_R18_cifar10_13,https://arxiv.org/abs/2104.09425,,,,False,94.87,0.00,Sehwag2021Proxy_R18,ResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Sehwag2021Proxy_cifar10_13,https://arxiv.org/abs/2104.09425,,,,False,95.64,0.00,Sehwag2021Proxy,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Ding2020MMA_cifar10_13,https://openreview.net/forum?id=HkeryxBtPB,,,,False,94.33,0.00,Ding2020MMA,WideResNet-28-4,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Sridhar2021Robust_34_15_cifar10_13,https://arxiv.org/abs/2106.02078,,,,False,95.50,0.00,Sridhar2021Robust_34_15,WideResNet-34-15,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Salman2020Do_R18_imagenet1k_13,https://arxiv.org/abs/2007.08489,,,,False,42.95,0,Salman2020Do_R18,ResNet-18,pytorch,False,imagenet,natural,,fp32,,,Classification,,
